0,8,0,0,0,0,7.999390213,0,0
0.1,7.999390213,0,0,0,0,7.998799373,0,0
0.2,7.998799373,0,0,0,0,7.998227219,0,0
0.3,7.998227219,0,0,0,0,7.997673493,0,0
0.4,7.997673493,0,0,0,0,7.997137934,0,0
0.5,7.997137934,0,0,0,0,7.996620282,0,0
0.6,7.996620282,0,0,0,0,7.996120276,0,0
0.7,7.996120276,0,0,0,0,7.995637656,0,0
0.8,7.995637656,0,0,0,0,7.995172162,0,0
0.9,7.995172162,0,0,0,0,7.994723534,0,0
1,7.994723534,0,0,0,0,7.994291511,0,0
1.1,7.994291511,0,0,0,0,7.993875837,0,0
1.2,7.993875837,0,0,0,0,7.993476253,0,0
1.3,7.993476253,0,0,0,0,7.993092503,0,0
1.4,7.993092503,0,0,0,0,7.99272433,0,0
1.5,7.99272433,0,0,0,0,7.992371482,0,0
1.6,7.992371482,0,0,0,0,7.992033704,0,0
1.7,7.992033704,0,0,0,0,7.991710746,0,0
1.8,7.991710746,0,0,0,0,7.991402358,0,0
1.9,7.991402358,0,0,0,0,7.991108292,0,0
2,7.991108292,0,0,0,0,7.990828302,0,0
2.1,7.990828302,0,0,0,0,7.990562143,0,0
2.2,7.990562143,0,0,0,0,7.990309574,0,0
2.3,7.990309574,0,0,0,0,7.990070354,0,0
2.4,7.990070354,0,0,0,0,7.989844246,0,0
2.5,7.989844246,0,0,0,0,7.989631013,0,0
2.6,7.989631013,0,0,0,0,7.989430422,0,0
2.7,7.989430422,0,0,0,0,7.989242243,0,0
2.8,7.989242243,0,0,0,0,7.989066247,0,0
2.9,7.989066247,0,0,0,0,7.988902206,0,0
3,7.988902206,0,0,0,0,7.988749899,0,0
3.1,7.988749899,0,0,0,0,7.988609103,0,0
3.2,7.988609103,0,0,0,0,7.988479601,0,0
3.3,7.988479601,0,0,0,0,7.988361176,0,0
3.4,7.988361176,0,0,0,0,7.988253615,0,0
3.5,7.988253615,0,0,0,0,7.988156708,0,0
3.6,7.988156708,0,0,0,0,7.988070247,0,0
3.7,7.988070247,0,0,0,0,7.987994028,0,0
3.8,7.987994028,0,0,0,0,7.987927846,0,0
3.9,7.987927846,0,0,0,0,7.987871505,0,0
4,7.987871505,0,0,0,0,7.987824806,0,0
4.1,7.987824806,0,0,0,0,7.987787555,0,0
4.2,7.987787555,0,0,0,0,7.987759562,0,0
4.3,7.987759562,0,0,0,0,7.987740639,0,0
4.4,7.987740639,0,0,0,0,7.987730599,0,0
4.5,7.987730599,0,0,0,0,7.987729261,0,0
4.6,7.987729261,0,0,0,0,7.987736444,0,0
4.7,7.987736444,0,0,0,0,7.987751971,0,0
4.8,7.987751971,0,0,0,0,7.987775668,0,0
